# height (km)	distance (km)
4053.1	49.7
# azi	zh	zdr	phidp	rhohv	vel
-148.5	1.5	5.88	60.3	0.972	1.5
-149.5	1.0	6.12	54.3	0.982	1.5
-150.5	4.0	5.62	51.1	0.978	1.0
-151.5	-0.5	6.44	48.0	0.978	0.5
-152.5	1.5	6.31	54.7	0.952	0.5
-153.5	0.5	6.88	57.1	0.952	0.0
-154.5	0.5	6.38	46.9	0.932	0.0
-155.5	0.0	6.12	53.2	0.942	0.0
-156.5	1.0	6.31	52.2	0.955	-0.5
-157.5	-0.5	6.88	55.7	0.938	-0.5
-158.5	2.0	7.56	58.9	0.918	-1.0
-159.5	2.0	7.94	51.5	0.958	-2.0
-160.5	2.0	7.06	51.1	0.972	-2.0
-161.5	1.0	6.88	48.0	0.972	-2.0
-162.5	1.0	6.56	51.1	0.872	-2.5
-163.5	0.5	7.94	44.8	1.038	-2.5
-164.5	1.0	7.50	54.7	0.905	-2.0
-165.5	2.5	7.88	49.7	1.008	-3.0
-166.5	4.0	7.00	59.6	0.998	-3.0
-167.5	3.5	7.56	54.3	0.978	-3.5
-168.5	6.0	7.94	53.2	0.952	-3.5
-169.5	2.0	7.94	53.2	0.895	-3.0
-170.5	1.5	5.69	57.5	0.922	-3.0
-171.5	2.5	6.62	53.9	0.942	-3.0
-172.5	-0.5	7.94	47.2	0.988	-3.5
-173.5	2.5	7.62	54.7	0.958	-3.0
-174.5	2.0	7.94	46.9	0.998	-3.5
-175.5	0.0	7.94	56.4	0.928	-3.5
-176.5	1.5	7.06	53.9	0.965	-4.5
-177.5	1.5	6.88	52.5	0.895	-5.0
-178.5	0.5	7.94	45.8	1.028	-5.0
-179.5	3.0	7.75	51.8	1.015	-5.5
-180.5	1.5	7.94	44.4	0.932	-5.5
-181.5	1.0	7.44	46.9	0.925	-5.0
-182.5	1.0	7.31	46.2	0.925	-4.5
-183.5	0.0	7.81	43.7	0.962	-6.5
-184.5	3.5	7.62	43.4	1.015	-6.5
-185.5	-1.0	7.75	48.3	0.972	-6.0
-186.5	3.0	7.94	54.7	0.945	-7.0
-187.5	2.5	6.75	46.2	0.988	-6.0
-188.5	5.5	7.94	51.1	0.935	-7.5
-189.5	3.0	7.94	47.6	0.952	-7.0
-190.5	5.0	7.94	43.4	0.988	-7.0
-191.5	4.0	7.94	42.3	0.978	-7.5
-192.5	2.5	7.94	52.9	0.968	-7.5
-193.5	-0.5	7.94	37.7	0.922	-7.0
-194.5	0.0	7.94	44.8	0.878	-8.0
-195.5	3.0	7.94	47.2	0.985	-8.5
-196.5	2.5	7.25	49.0	0.958	-9.0
-197.5	1.5	7.94	53.2	0.985	-9.0
-198.5	-0.5	7.56	46.9	0.952	-9.0
-199.5	3.0	7.94	50.1	0.972	-9.0
-200.5	2.0	7.94	43.7	0.988	-9.5
-201.5	1.5	6.88	47.2	0.935	-9.0
-202.5	1.0	7.69	47.2	0.955	-9.0
-203.5	1.5	7.44	53.2	0.982	-10.0
-204.5	0.5	6.94	45.8	0.902	-9.5
-205.5	-0.5	7.62	57.1	1.022	-9.0
-206.5	2.5	7.94	53.6	0.985	-9.5
-207.5	0.5	7.75	50.4	0.888	-9.5
-208.5	3.0	7.94	49.7	1.022	-9.5
-209.5	1.5	7.94	51.5	0.985	-10.5
-210.5	2.0	6.88	49.7	1.005	-10.5
-211.5	1.5	7.25	55.4	0.945	-10.5
-212.5	2.0	6.88	60.6	0.918	-11.0
-213.5	1.5	6.19	48.0	0.888	-11.0
-214.5	3.5	7.56	48.7	0.978	-11.0
-215.5	0.5	6.00	48.3	0.975	-11.0
-216.5	2.0	7.25	49.0	0.978	-11.5
-217.5	4.0	7.19	48.0	0.982	-12.0
-218.5	0.5	7.69	60.3	1.005	-11.5
-219.5	3.0	6.81	51.8	0.992	-12.0
-220.5	2.5	6.75	49.0	0.995	-12.0
-221.5	-0.5	6.62	52.5	0.948	-12.0
-222.5	0.5	5.75	45.5	0.992	-11.5
-223.5	1.0	6.50	49.0	1.025	-10.0
-224.5	1.5	7.00	51.8	0.978	-10.0
-225.5	2.0	6.81	62.1	0.992	-10.5
-226.5	1.0	6.06	54.7	0.898	-10.0
-227.5	1.0	6.56	48.7	0.912	-10.5
-228.5	-0.5	5.38	49.0	0.882	-11.0
-229.5	-0.5	6.88	41.3	0.982	-11.0
-230.5	1.5	6.62	50.4	0.958	-11.5
-231.5	1.5	5.50	53.9	0.982	-11.5
-232.5	-1.0	5.00	67.0	0.888	-11.0
-233.5	0.5	5.44	52.2	0.935	-12.0
-234.5	2.5	6.81	57.8	0.928	-12.0
-235.5	1.5	4.44	57.5	0.952	-11.5
-236.5	-1.0	5.38	49.7	0.952	-12.0
-237.5	-4.0	4.88	43.7	0.912	-12.0
-238.5	0.0	4.12	49.7	0.972	-12.5
-239.5	0.0	5.44	62.1	0.965	-12.0
-240.5	-3.5	4.06	54.3	0.908	-12.0
-241.5	-2.5	3.12	63.8	0.988	-12.0
-242.5	1.0	3.06	58.2	0.992	-12.5
-243.5	0.0	0.00	0.0	0.000	0.0
-244.5	2.5	1.06	41.3	0.895	-18.0
-245.5	-5.0	3.06	65.9	0.868	-12.0
-246.5	-1.0	2.06	55.4	0.968	-12.5
-247.5	0.5	2.44	62.1	0.985	-12.0
-248.5	-2.5	3.00	53.9	0.972	-11.5
-249.5	-2.0	3.06	67.7	0.968	-12.0
-250.5	-1.0	2.31	57.5	0.952	-11.5
-251.5	-2.5	1.69	56.8	0.945	-11.5
-252.5	-3.5	1.38	56.1	0.958	-12.0
-253.5	-4.0	2.50	67.0	1.002	-11.5
-254.5	-2.5	1.81	68.4	0.968	-11.0
-255.5	-2.0	1.81	61.4	0.978	-11.5
-256.5	0.0	0.00	0.0	0.000	0.0
-257.5	0.5	0.38	65.6	0.985	-11.5
-258.5	-3.5	0.19	67.0	0.938	-11.5
-259.5	-3.5	0.75	64.2	0.945	-12.0
-260.5	-1.5	1.69	58.9	0.935	-11.0
-261.5	0.0	1.88	65.2	0.965	-11.5
-262.5	-2.5	0.44	61.0	0.958	-11.5
-263.5	-3.5	0.12	65.6	1.002	-11.0
-264.5	-3.5	0.75	66.6	0.968	-11.0
-265.5	-3.5	-0.44	68.4	0.988	-11.5
-266.5	-0.5	0.38	64.9	1.012	-11.0
-267.5	-0.5	-0.44	69.1	0.965	-11.0
-268.5	-4.0	0.25	74.4	0.948	-10.5
-269.5	-4.0	-0.38	70.5	0.982	-10.0
89.5	-3.5	-0.12	63.5	0.942	-10.5
88.5	-5.0	-1.00	72.3	0.918	-10.0
87.5	-5.0	0.06	66.3	0.955	-10.0
86.5	-3.0	-0.81	76.5	0.962	-10.0
85.5	-4.5	1.25	73.7	0.945	-10.5
84.5	-1.5	0.25	73.7	0.995	-10.5
83.5	-2.5	-0.50	77.2	0.918	-9.5
82.5	-4.5	0.81	77.2	0.945	-9.5
81.5	0.0	0.00	0.0	0.000	0.0
80.5	-1.5	0.69	82.2	0.948	-10.0
79.5	1.5	-0.44	78.3	0.982	-9.5
78.5	-4.0	-0.44	75.1	0.985	-8.5
77.5	-0.5	0.19	79.7	0.982	-8.5
76.5	0.0	0.00	74.8	0.988	-8.5
75.5	-2.5	-1.25	81.8	0.928	-8.5
74.5	-0.5	0.69	77.6	0.978	-8.0
73.5	0.0	-0.25	78.3	0.995	-8.0
72.5	-0.5	-0.25	77.6	0.965	-8.0
71.5	-4.5	-0.12	89.6	0.925	-8.0
70.5	-1.5	1.00	98.7	1.005	-7.5
69.5	0.0	0.19	85.3	0.992	-7.5
68.5	0.5	0.44	83.2	0.978	-7.5
67.5	1.0	1.06	80.4	0.932	-7.0
66.5	0.5	0.81	85.7	0.985	-6.5
65.5	2.0	1.12	87.8	0.978	-6.5
64.5	0.0	1.50	94.8	0.958	-5.5
63.5	0.0	0.94	83.9	0.978	-6.0
62.5	-0.5	0.81	89.2	1.002	-5.5
61.5	2.0	1.50	90.3	0.992	-5.5
60.5	0.5	2.50	95.6	0.982	-5.0
59.5	0.0	1.50	86.7	0.955	-6.5
58.5	2.0	0.81	86.0	0.992	-6.0
57.5	0.5	1.50	86.4	0.952	-5.5
56.5	-1.0	0.75	93.4	0.995	-5.0
55.5	1.0	2.31	93.1	0.932	-5.5
54.5	1.5	2.56	96.3	0.958	-5.0
53.5	2.5	1.94	87.8	0.968	-4.5
52.5	2.5	2.50	96.6	0.972	-5.0
51.5	-1.0	2.25	88.5	0.938	-5.5
50.5	2.5	1.69	95.2	0.978	-5.5
49.5	2.0	3.19	93.1	0.975	-5.0
48.5	2.5	2.25	89.2	0.982	-5.0
47.5	0.0	2.44	97.3	0.942	-4.0
46.5	1.5	2.19	92.4	0.975	-4.0
45.5	1.5	3.19	97.3	0.978	-3.0
44.5	2.5	2.25	89.2	0.975	-3.5
43.5	0.0	2.56	92.7	0.945	-2.5
42.5	1.5	3.00	93.1	0.962	-2.5
41.5	3.5	3.12	94.5	0.975	-2.0
40.5	3.5	3.75	95.9	0.998	-2.0
39.5	2.5	2.81	95.2	0.972	-2.0
38.5	2.0	3.69	93.8	0.958	-2.0
37.5	1.5	3.00	94.1	0.965	-2.0
36.5	-0.5	2.25	93.1	0.985	-1.5
35.5	2.0	3.38	93.4	0.982	-1.5
34.5	1.0	3.44	96.6	0.965	-1.5
33.5	2.0	4.62	93.4	0.958	-1.0
32.5	1.0	4.56	100.1	0.975	-1.0
31.5	5.0	3.44	90.6	0.992	-1.0
30.5	2.5	3.88	89.2	0.972	-0.5
29.5	1.5	3.81	96.6	0.945	-0.5
28.5	6.5	4.00	97.0	0.992	-0.5
27.5	2.0	3.94	97.0	0.978	0.0
26.5	3.0	4.75	97.3	0.968	0.0
25.5	2.0	4.44	99.4	0.975	0.5
24.5	5.5	4.50	95.9	0.985	0.0
